title,released,distributor,genre,rating,gross,tickets,imdb_id
Guardians of the Galaxy,2014-08-01,Walt Disney,Adventure,PG-13,333055258,40765637,tt2015381
The Hunger Games: Mockingjay - Part 1,2014-11-21,Lionsgate,Thriller/Suspense,PG-13,323734502,39624786,tt1951265
Captain America: The Winter Soldier,2014-04-04,Walt Disney,Action,PG-13,259746958,31792773,tt1843866
The Lego Movie,2014-02-07,Warner Bros.,Adventure,PG,257784718,31552597,tt1490017
Transformers: Age of Extinction,2014-06-27,Paramount Pictures,Action,PG-13,245439076,30041502,tt2109248
Maleficent,2014-05-30,Walt Disney,Adventure,PG,241407328,29548020,tt1587310
X-Men: Days of Future Past,2014-05-23,20th Century Fox,Action,PG-13,233921534,28631766,tt1877832
The Hobbit: The Battle of the Five Armies,2014-12-17,Warner Bros.,Adventure,PG-13,220602017,27001470,tt2310332
Big Hero 6,2014-11-07,Walt Disney,Adventure,PG,211207036,25851534,tt2245084
Dawn of the Planet of the Apes,2014-07-11,20th Century Fox,Adventure,PG-13,208545589,25525775,tt2103281
The Amazing Spider-Man 2,2014-05-02,Sony Pictures,Action,PG-13,202853933,24829122,tt1872181
Godzilla,2014-05-16,Warner Bros.,Action,PG-13,200672193,24562079,tt1628040
22 Jump Street,2014-06-13,Sony Pictures,Comedy,R,191719337,23466259,tt2294449
Teenage Mutant Ninja Turtles,2014-08-08,Paramount Pictures,Adventure,PG-13,191204754,23403274,tt1291150
Interstellar,2014-11-07,Paramount Pictures,Adventure,PG-13,182802094,22374797,tt0816692
How to Train Your Dragon 2,2014-06-13,20th Century Fox,Adventure,PG,177002924,21664984,tt1646971
Gone Girl,2014-10-03,20th Century Fox,Thriller/Suspense,R,166726809,20407198,tt2267998
Divergent,2014-03-21,Lionsgate,Adventure,PG-13,150947895,18475874,tt1840309
Neighbors,2014-05-09,Universal,Comedy,R,150086800,18370477,tt2004420
Ride Along,2014-01-17,Universal,Comedy,PG-13,134202565,16426262,tt1408253
Rio 2,2014-04-11,20th Century Fox,Adventure,G,131538435,16100175,tt2357291
Lucy,2014-07-25,Universal,Action,R,126573960,15492528,tt2872732
The Fault in Our Stars,2014-06-06,20th Century Fox,Drama,PG-13,124872350,15284253,tt2582846
Lone Survivor,2014-01-10,Universal,Action,R,124768916,15271593,tt1091191
